id,original_title,scrambled_hint,category,director_name,genre,lead_actor
1,JENDAPAI KAPIRAAJU,GENT PIE CAP RANGE YOU,Tollywood,Samuthirakani,Drama,Nani
2,BAAHUBALI,BOB ALI,Tollywood,S.S. Rajamouli,Action,Prabhas
3,DANGAL,DAN GIRL,Bollywood,Nitesh Tiwari,Drama,Aamir Khan
4,KGF,KAY GEE YUFF,Tollywood,Prashanth Neel,Action,Yash
5,TITANIC,TIGHT A TONIC,Hollywood,James Cameron,Romance,Leonardo DiCaprio
6,SHOLAY,SHOW LAY,Bollywood,Ramesh Sippy,Action,Amitabh Bachchan
7,AVATAR,A WEIGHT ARE,Hollywood,James Cameron,Sci-Fi,Sam Worthington
8,DRISHYAM,DRESS JAM,Mollywood,Jeethu Joseph,Thriller,Mohanlal
9,RRR,ARE ARE ARE,Tollywood,S.S. Rajamouli,Action,Ram Charan
10,INCEPTION,IN SAFE TONE,Hollywood,Christopher Nolan,Sci-Fi,Leonardo DiCaprio
11,PUSHPA,PAUSE PA,Tollywood,Sukumar,Action,Allu Arjun
12,PK,PEE KAY,Bollywood,Rajkumar Hirani,Comedy,Aamir Khan
13,MAGADHEERA,MAG A DEAR,Tollywood,S.S. Rajamouli,Fantasy,Ram Charan
14,SURYAVANSHI,SURE YA VAN SHE,Bollywood,Rohit Shetty,Action,Akshay Kumar
15,ARJUN REDDY,ARE JUN RED D,Tollywood,Sandeep Vanga,Romance,Vijay Deverakonda
16,3 IDIOTS,THREE EYE DOTS,Bollywood,Rajkumar Hirani,Comedy,Aamir Khan
17,MAHARSHI,MY HERSHEY,Tollywood,Vamshi Paidipally,Drama,Mahesh Babu
18,DILWALE DULHANIA LE JAYENGE,DOLL WELL DULL HONEY JAY HANG,Bollywood,Aditya Chopra,Romance,Shah Rukh Khan
19,ATHARINTIKI DAREDI,AT HER IN TICKY DARE DIE,Tollywood,Trivikram Srinivas,Drama,Pawan Kalyan
20,BHAAG MILKHA BHAAG,BAG MILKY BAG,Bollywood,Rakeysh Omprakash Mehra,Biography,Farhan Akhtar
21,GABBAR SINGH,GAB BARS IN,Tollywood,Harish Shankar,Action,Pawan Kalyan
22,KABIR SINGH,COBBER SING,Bollywood,Sandeep Vanga,Romance,Shahid Kapoor
23,RANGASTHALAM,PLACE WHERE YOU ACT,Tollywood,Sukumar,Drama,Ram Charan
24,DON,DOWN,Bollywood,Farhan Akhtar,Action,Shah Rukh Khan
25,ROBOT,ROW BOUGHT,Tollywood,Shankar,Sci-Fi,Rajinikanth
26,BADRINATH,BAD DREAM AT,Tollywood,V.V. Vinayak,Action,Allu Arjun
27,SHAHENSHAH,SHOW HENS SHAH,Bollywood,Tinnu Anand,Action,Amitabh Bachchan
28,SARILERU NEEKEVVARU,SORRY LEARN NICK WARE,Tollywood,Anil Ravipudi,Action,Mahesh Babu
29,ZINDAGI NA MILEGI DOBARA,SEND DOGGY NO MILD DOG BAR,Bollywood,Zoya Akhtar,Drama,Hrithik Roshan
30,ATHADU,AT HER DO,Tollywood,Trivikram Srinivas,Action,Mahesh Babu
31,BHARAT ANE NENU,BRIGHT AND NEW,Tollywood,Koratala Siva,Drama,Mahesh Babu
32,KABHI KHUSHI KABHIE GHAM,COBBY COUCHY GUMMY GAME,Bollywood,Karan Johar,Drama,Shah Rukh Khan
33,RAAZ,RAZE,Bollywood,Vikram Bhatt,Thriller,Bipasha Basu
34,YE MAAYA CHESAVE,YOU MAY CHASE WAY,Tollywood,Gautham Menon,Romance,Naga Chaitanya
35,BAJRANGI BHAIJAAN,BUD JUNGLE BUY JOHN,Bollywood,Kabir Khan,Drama,Salman Khan
36,AGENT SAI SRINIVASA ATHREYA,AGAIN SAY SIR INVISIBLE TREE,Tollywood,Swaroop RSJ,Comedy,Navin Polishetty
37,CHANDNI CHOWK TO CHINA,CHANTING CHALK TO CHAIR,Bollywood,Nikhil Advani,Comedy,Akshay Kumar
38,AA NALUGURU,ALL ARE NEW GURU,Tollywood,Chandra Siddhartha,Drama,Rajendra Prasad
39,BANG BANG!,BAN BANK,Bollywood,Siddharth Anand,Action,Hrithik Roshan
40,FIDA,FEED AHH,Tollywood,Shekar Kammula,Romance,Varun Tej
41,EK VILLAIN,EQUAL VILLAGE,Bollywood,Mohit Suri,Thriller,Sidharth Malhotra
42,MUNNA BHAI M.B.B.S,MANY BUY ME BEES,Bollywood,Rajkumar Hirani,Comedy,Sanjay Dutt
43,HAPPY DAYS,HEY PAY DICE,Tollywood,Shekar Kammula,Drama,Varun Sandesh
